Filename,Date_collec,Time_collec,Res,Date_run,Batch,Catch,UW,Indiv,Rank,Group,DOB,Age,Temp,Uvol,SPG1,SPG2,meanSPG,DayRain,AveRain,z.Age,z.Uvol,z.SPG,z.Temp,z.DayRain,z.AveRain
20220711_04,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.219672519,-0.154744111,-0.538767017,1.164331545,-0.364002393,-0.19285139
20220711_06,2022-05-18,15:35,MAG,20220711,Batch00,IC,NO,SB,Subord,LV,2014-12-02,7.5,28.2,0.3,1.021,1.021,1.0213,2.2,3.16,-1.261893609,0.098473525,-0.054980177,-0.100297437,-0.20263382,-0.129576736
20220711_07,2022-05-13,12:00,SRM,20220711,Batch00,IC,YES,LO,Subord,RM,2011-01-01,11.4,34.2,0.2,1.028,1.028,1.0284,0,2.86,-0.438582347,-0.154744111,0.4501502,1.750379122,-0.364002393,-0.19285139
20220711_08,2022-04-01,6:49,GMC,20220711,Batch00,DC,NO,LE,Subord,RM,1994-05-01,27.9,36.3,0.25,1.038,1.038,1.0383,0,0,3.044657609,-0.028135293,1.154486922,2.398115917,-0.364002393,-0.796069764
20220711_09,2022-05-13,11:23,MAG,20220711,Batch00,IC,NO,FG,Subord,RM,2009-02-18,13.2,33.4,0.2,1.065,1.065,1.065,0,2.86,-0.058592534,-0.154744111,3.054061719,1.503622247,-0.364002393,-0.19285139
20220711_10,2022-05-26,10:26,SRM,20220711,Batch00,DC,NO,CZ,Subord,RM,2006-01-01,16.4,28.4,0.2,1.023,1.023,1.0234,0.8,7.63,0.616944912,-0.154744111,0.094424582,-0.038608218,-0.305322912,0.813215617
20220711_11,2022-03-21,12:02,GMC,20220711,Batch00,IC,YES,PW,Subord,LV,2006-01-01,16.2,33.6,0.25,1.007,1.007,1.0073,0,0,0.574723822,-0.028135293,-1.051011906,1.565311466,-0.364002393,-0.796069764
20220712_05,2022-03-04,7:52,SRM,20220712,Batch01,DC,YES,ES,Alpha,BC,2013-03-15,9,27.9,0.25,1.034,1.034,1.0341,0,0,-0.945235431,-0.028135293,0.855677403,-0.192831265,-0.364002393,-0.796069764
20220712_06,2022-02-24,8:45,NAC,20220712,Batch01,IC,YES,EC,Subord,GN,2009-01-01,13.1,27.9,0.25,1.025,1.025,1.0245,0,0,-0.079703079,-0.028135293,0.172684218,-0.192831265,-0.364002393,-0.796069764
20220712_09,2022-01-15,7:56,KMJ,20220712,Batch01,DC,YES,CZ,Subord,RM,2006-01-01,16,26.7,NA,1.032,1.032,1.0317,0,0.03,0.532502732,NA,0.684929107,-0.562966577,-0.364002393,-0.789742298
20220712_11,2022-04-11,7:17,ACP,20220712,Batch01,DC,YES,LO,Subord,RM,2011-01-01,11.3,27.4,0.2,1.023,1.023,1.0229,0,0,-0.459692892,-0.154744111,0.058852021,-0.347054312,-0.364002393,-0.796069764
20220712_12,2022-02-10,6:29,SRM,20220712,Batch01,DC,YES,BY,Alpha,LV,2003-01-01,19.1,25.3,0.25,1.006,1.006,1.006,0,0.03,1.186929632,-0.028135293,-1.143500566,-0.994791107,-0.364002393,-0.789742298
20220712_13,2022-03-21,7:55,ACP,20220712,Batch01,DC,NO,HG,Subord,LV,2007-04-12,14.9,28.9,0.4,1.027,1.027,1.0265,0,0,0.300286735,0.351691161,0.314974465,0.115614828,-0.364002393,-0.796069764
20220712_15,2022-04-29,10:29,GMC,20220712,Batch01,IC,NO,KO,Alpha,RM,2009-01-01,13.3,33.6,0.1,1.01,1.01,1.0102,0,0.62,-0.037481988,-0.407961746,-0.844691048,1.565311466,-0.364002393,-0.665302144
20220712_18,2022-04-29,8:07,GMC,20220712,Batch01,DC,NO,FG,Subord,RM,2009-02-18,13.2,30.1,0.4,1.045,1.045,1.0448,0,0.62,-0.058592534,0.351691161,1.616930225,0.48575014,-0.364002393,-0.665302144
20220712_21,2022-03-14,11:15,GMC,20220712,Batch01,DC,YES,FI,Subord,RM,2014-08-25,7.6,33,0.25,1.033,1.033,1.0326,0,0,-1.240783064,-0.028135293,0.748959718,1.38024381,-0.364002393,-0.796069764
20220712_23,2022-05-04,11:10,YVA,20220712,Batch01,IC,NO,BY,Alpha,LV,2003-01-01,19.3,28.6,0.4,1.017,1.017,1.017,48.3,0.67,1.229150723,0.351691161,-0.360904208,0.023081,3.178771273,-0.654756369
20220712_24,2022-02-03,9:38,SRM,20220712,Batch01,DC,NO,LE,Subord,RM,1994-05-01,27.8,28.5,0.25,1.022,1.022,1.0216,0,0.03,3.023547063,-0.028135293,-0.03363664,-0.007763609,-0.364002393,-0.789742298
20220712_26,2022-01-28,6:50,SRM,20220712,Batch01,DC,NO,PW,Subord,LV,2006-01-01,16.1,25.6,0.25,1.02,1.02,1.0199,0,0.03,0.553613277,-0.028135293,-0.15458335,-0.902257279,-0.364002393,-0.789742298
20220712_29,2022-05-17,8:29,SRM,20220712,Batch01,DC,NO,BY,Alpha,LV,2003-01-01,19.4,26.1,0.2,1.025,1.025,1.0248,2,3.09,1.250261268,-0.154744111,0.194027755,-0.748034233,-0.21730369,-0.144340822
20220712_30,2022-04-06,12:45,ACP,20220712,Batch01,DC,YES,SB,Subord,LV,2014-12-02,7.3,32.3,0.1,1.029,1.029,1.0285,0,0,-1.304114699,-0.407961746,0.457264712,1.164331545,-0.364002393,-0.796069764
20220712_34,2022-03-15,13:54,GMC,20220712,Batch01,DC,NO,HE,Subord,RM,2014-04-28,7.9,36,0.25,1.015,1.015,1.0147,0,0,-1.177451428,-0.028135293,-0.524537992,2.30558209,-0.364002393,-0.796069764
20220712_35,2022-04-22,7:30,SRM,20220712,Batch01,DC,NO,TD,Subord,GN,2012-10-23,9.5,27.9,0.2,1.013,1.013,1.0126,10.2,0,-0.839682705,-0.154744111,-0.673942751,-0.192831265,0.38416099,-0.796069764
20220718_04,2022-05-16,7:25,SRM,20220718,Batch02,DC,NO,ES,Alpha,BC,2013-03-15,9.2,27.3,0.3,1.029,1.029,1.0291,7,2.86,-0.903014341,0.098473525,0.499951786,-0.377898921,0.149443066,-0.19285139
20220718_05,2022-01-19,7:10,MAG,20220718,Batch02,DC,NO,FG,Subord,RM,2009-02-18,12.9,25.2,NA,1.029,1.028,1.0285,0,0.03,-0.121924169,NA,0.457264712,-1.025635717,-0.364002393,-0.789742298
20220718_09,2022-03-23,17:45,JLW,20220718,Batch02,DC,YES,PW,Subord,LV,2006-01-01,16.2,25.9,0.75,1.041,1.041,1.0408,0,0,0.574723822,1.237952885,1.332349731,-0.809723451,-0.364002393,-0.796069764
20220718_12,2022-05-18,11:40,YVA,20220718,Batch02,DC,NO,PW,Subord,LV,2006-01-01,16.4,29.6,0.2,1.031,1.031,1.0308,2.2,3.16,0.616944912,-0.154744111,0.620898496,0.331527093,-0.20263382,-0.129576736
20220718_13,2022-05-04,16:20,JLW,20220718,Batch02,DC,NO,SB,Subord,LV,2014-12-02,7.4,30.6,0.5,1.022,1.022,1.022,48.3,0.67,-1.283004154,0.604908796,-0.005178591,0.639973186,3.178771273,-0.654756369
20220718_17,2022-03-21,15:00,GMC,20220718,Batch02,IC,YES,BY,Alpha,LV,2003-01-01,19.2,34.1,0.25,1.004,1.004,1.004,0,0,1.208040178,-0.028135293,-1.285790813,1.719534513,-0.364002393,-0.796069764
20220718_20,2022-05-13,9:57,SRM,20220718,Batch02,DC,NO,KO,Alpha,RM,2009-01-01,13.4,32.1,0.2,1.01,1.011,1.0105,0,2.86,-0.016371443,-0.154744111,-0.823347511,1.102642326,-0.364002393,-0.19285139
20220718_21,2022-05-02,8:47,MAG,20220718,Batch02,DC,NO,HG,Subord,LV,2007-04-12,15.1,32.1,0.3,1.018,1.018,1.018,1.1,0.62,0.342507825,0.098473525,-0.289759085,1.102642326,-0.283318106,-0.665302144
20220718_26,2022-01-24,10:15,MAG,20220718,Batch02,DC,NO,BY,Alpha,LV,2003-01-01,19.1,28.6,0.25,1.027,1.027,1.0267,0,0.03,1.186929632,-0.028135293,0.32920349,0.023081,-0.364002393,-0.789742298
20220718_31,2022-01-10,11:40,KMJ,20220718,Batch02,DC,YES,KO,Alpha,RM,2009-01-01,13,31.2,0.25,1.025,1.025,1.0245,0,0.04,-0.100813624,-0.028135293,0.172684218,0.825040842,-0.364002393,-0.787633143
20220718_34,2022-02-23,10:30,SRM,20220718,Batch02,DC,YES,BY,Alpha,LV,2003-01-01,19.1,32.9,0.25,1.014,1.014,1.014,0,0,1.186929632,-0.028135293,-0.574339578,1.349399201,-0.364002393,-0.796069764
20220718_35,2022-05-19,10:35,JLW,20220718,Batch02,IC,NO,DD,Alpha,GN,2008-01-01,14.4,30.6,0.2,1.012,1.012,1.0124,80.2,3.23,0.194734009,-0.154744111,-0.688171776,0.639973186,5.518615577,-0.11481265
20220718_40,2022-03-08,7:08,SRM,20220718,Batch02,DC,YES,HG,Subord,LV,2007-04-12,14.9,25.5,0.25,1.034,1.034,1.0339,0,0,0.300286735,-0.028135293,0.841448379,-0.933101889,-0.364002393,-0.796069764
20220718_41,2022-01-15,10:55,MAG,20220718,Batch02,DC,YES,LO,Subord,RM,2011-01-01,11,32.3,4,1.033,1.033,1.0329,0,0.03,-0.523024528,9.467526043,0.770303255,1.164331545,-0.364002393,-0.789742298
20220718_43,2022-05-04,12:25,JLW,20220718,Batch02,DC,NO,PW,Subord,LV,2006-01-01,16.3,34.8,0.8,1.004,1.004,1.0042,48.3,0.67,0.595834367,1.364561703,-1.271561789,1.935446778,3.178771273,-0.654756369
20220718_48,2022-05-19,7:45,JLW,20220718,Batch02,DC,NO,EC,Subord,GN,2009-01-01,13.4,26,0.4,1.028,1.028,1.0283,80.2,3.23,-0.016371443,0.351691161,0.443035687,-0.778878842,5.518615577,-0.11481265
20220718_49,2022-03-07,14:49,MAG,20220718,Batch02,NA,NO,PW,Subord,LV,2006-01-01,16.2,35.7,0.35,1.006,1.005,1.0055,0,0,0.574723822,0.225082343,-1.179073128,2.213048262,-0.364002393,-0.796069764
20220718_50,2022-05-30,13:40,YVA,20220718,Batch02,NA,NA,HG,Subord,LV,2007-04-12,15.1,27.3,0.2,1.009,1.009,1.009,1.6,9.82,0.342507825,-0.154744111,-0.930065196,-0.377898921,-0.246643431,1.275120595
20220718_51,2022-04-28,10:22,SRM,20220718,Batch02,IC,YES,CZ,Subord,RM,2006-01-01,16.3,31.3,NA,1.065,1.065,1.065,0,0.62,0.595834367,NA,3.054061719,0.855885452,-0.364002393,-0.665302144
20220718_53,2022-04-05,8:36,SRM,20220718,Batch02,DC,YES,BY,Alpha,LV,2003-01-01,19.3,26.7,0.2,1.022,1.022,1.0218,0,0,1.229150723,-0.154744111,-0.019407615,-0.562966577,-0.364002393,-0.796069764
20220718_55,2022-04-22,11:00,SRM,20220718,Batch02,DC,NO,DD,Alpha,GN,2008-01-01,14.3,27.6,0.2,1.011,1.011,1.0114,10.2,0,0.173623463,-0.154744111,-0.759316899,-0.285365093,0.38416099,-0.796069764
20220718_58,2022-04-04,9:19,ACP,20220718,Batch02,DC,YES,PW,Subord,LV,2006-01-01,16.3,29.5,0.1,1.03,1.03,1.0297,0,0,0.595834367,-0.407961746,0.54263886,0.300682484,-0.364002393,-0.796069764
20220718_61,2022-05-26,7:03,SRM,20220718,Batch02,DC,NO,LE,Subord,RM,1994-05-01,28.1,24.9,0.2,1.023,1.023,1.0233,0.8,7.63,3.086878699,-0.154744111,0.08731007,-1.118169545,-0.305322912,0.813215617
20230103_06,2022-10-11,8:10,RJM,20230103,Batch03,IC,NO,PW,Subord,LV,2006-01-01,16.8,25.7,0.2,1.002,1.002,1.0019,2.6,10.98,0.701387093,-0.154744111,-1.435195573,-0.87141267,-0.17329408,1.519782593
20230103_07,2022-10-25,7:48,RSB,20230103,Batch03,DC,NO,KO,Alpha,RM,2009-01-01,13.8,27.5,0.2,1.003,1.003,1.0031,1.1,8.2,0.068070738,-0.154744111,-1.349821424,-0.316209702,-0.283318106,0.933437461
20230103_11,2022-08-01,15:20,YVA,20230103,Batch03,DC,NO,DD,Alpha,GN,2008-01-01,14.6,27.1,0.1,1.013,1.013,1.013,0.4,11.03,0.236955099,-0.407961746,-0.645484702,-0.43958814,-0.334662652,1.530328368
20230103_13,2022-05-26,11:14,DSS,20230103,Batch03,NA,NO,HE,Subord,RM,2014-04-28,8.1,32.1,0.2,1.007,1.007,1.0073,0.8,7.63,-1.135230338,-0.154744111,-1.051011906,1.102642326,-0.305322912,0.813215617
20230103_16,2022-11-02,10:40,MAG,20230103,Batch03,IC,NO,TD,Subord,GN,2012-10-23,10,26.6,0.2,1.035,1.035,1.0346,18.2,7.05,-0.734129979,-0.154744111,0.891249965,-0.593811186,0.9709558,0.690884618
20230103_20,2022-06-13,15:40,YVA,20230103,Batch03,IC,NO,SB,Subord,LV,2014-12-02,7.5,25.4,0.2,1.023,1.023,1.0229,1.8,16.64,-1.261893609,-0.154744111,0.058852021,-0.963946498,-0.231973561,2.713564409
20230103_23,2022-05-31,12:20,YVA,20230103,Batch03,IC,NO,PW,Subord,LV,2006-01-01,16.4,28.4,0.1,1.028,1.028,1.0276,43.8,9.87,0.616944912,-0.407961746,0.393234101,-0.038608218,2.848699192,1.285666371
20230103_26,2022-10-28,10:07,WTA,20230103,Batch03,DC,NO,LE,Subord,RM,1994-05-01,28.5,27.9,0.2,1.009,1.009,1.0085,0.2,7.94,3.17132088,-0.154744111,-0.965637758,-0.192831265,-0.349332523,0.878599427
20230103_29,2022-08-08,11:52,SRM,20230103,Batch03,DC,NO,LO,Subord,RM,2011-01-01,11.6,27.3,0.2,1.02,1.02,1.0199,4,5.8,-0.396361257,-0.154744111,-0.15458335,-0.377898921,-0.070604988,0.427240224
20230103_30,2022-06-13,7:46,SRM,20230103,Batch03,IC,NO,BY,Alpha,LV,2003-01-01,19.4,24.1,0.2,1.029,1.029,1.0293,1.8,16.64,1.250261268,-0.154744111,0.514180811,-1.364926419,-0.231973561,2.713564409
20230103_38,2022-07-12,10:04,DSS,20230103,Batch03,IC,YES,PW,Subord,LV,2006-01-01,16.5,26.7,0.2,1.003,1.003,1.0032,11.4,12.68,0.638055458,-0.154744111,-1.342706912,-0.562966577,0.472180211,1.878338968
20230103_40,2022-06-01,7:57,SRM,20230103,Batch03,IC,NO,SB,Subord,LV,2014-12-02,7.5,25.2,0.2,1.021,1.021,1.0211,59,11.33,-1.261893609,-0.154744111,-0.069209202,-1.025635717,3.963609331,1.593603023
20230103_43,2022-10-28,8:47,RJM,20230103,Batch03,IC,NO,HE,Subord,RM,2014-04-28,8.5,27.5,0.2,1.021,1.021,1.0206,0.2,7.94,-1.050788157,-0.154744111,-0.104781763,-0.316209702,-0.349332523,0.878599427
20230103_44,2022-04-20,12:24,MAG,20230103,Batch03,OL,NO,PW,Subord,LV,2006-01-01,16.3,33.8,0.2,1.013,1.013,1.0128,0,0,0.595834367,-0.154744111,-0.659713727,1.627000685,-0.364002393,-0.796069764
20230103_46,2022-08-08,14:22,YVA,20230103,Batch03,DC,NO,KO,Alpha,RM,2009-01-01,13.6,27.3,0.1,1.023,1.023,1.0225,4,5.8,0.025849647,-0.407961746,0.030393971,-0.377898921,-0.070604988,0.427240224
20230103_48,2022-07-12,13:00,YVA,20230103,Batch03,DC,NO,SB,Subord,LV,2014-12-02,7.6,26.2,0.2,1.035,1.035,1.0352,11.4,12.68,-1.240783064,-0.154744111,0.933937039,-0.717189623,0.472180211,1.878338968
20230103_50,2022-07-14,13:00,YVA,20230103,Batch03,DC,NO,ES,Alpha,BC,2013-03-15,9.3,26.5,0.2,1.023,1.023,1.0232,30.5,13.26,-0.881903796,-0.154744111,0.080195558,-0.624655795,1.87315282,2.000669967
20230103_53,2022-08-24,10:45,SRM,20230103,Batch03,IC,NO,CZ,Subord,RM,2006-01-01,16.6,24.2,0.2,1.004,1.004,1.0036,40.8,7.2,0.659166003,-0.154744111,-1.314248863,-1.33408181,2.628651138,0.722521945
20230103_57,2022-11-22,6:14,WTA,20230103,Batch03,DC,NO,DD,Alpha,GN,2008-01-01,14.9,23.5,0.2,1.031,1.031,1.0313,0,7.77,0.300286735,-0.154744111,0.656471058,-1.549994075,-0.364002393,0.842743789
20230103_60,2022-10-03,8:57,RSB,20230103,Batch03,DC,NO,KN,Subord,AD,2009-01-01,13.8,26.7,0.2,1.007,1.007,1.0071,0.4,10.84,0.068070738,-0.154744111,-1.06524093,-0.562966577,-0.334662652,1.490254421
20230103_63,2022-08-25,8:20,YVA,20230103,Batch03,DC,NO,LE,Subord,RM,1994-05-01,28.3,24.7,0.2,1.011,1.011,1.0108,0.1,8.55,3.129099789,-0.154744111,-0.802003974,-1.179858763,-0.356667458,1.007257891
20230103_64,2022-06-13,13:20,DSS,20230103,Batch03,DC,NO,HG,Subord,LV,2007-04-12,15.2,25,0.2,1.018,1.018,1.0177,1.8,16.64,0.36361837,-0.154744111,-0.311102622,-1.087324935,-0.231973561,2.713564409
20230103_65,2022-05-30,16:17,YVA,20230103,Batch03,IC,NO,BY,Alpha,LV,2003-01-01,19.4,27.3,0.2,1.024,1.024,1.0237,1.6,9.82,1.250261268,-0.154744111,0.115768119,-0.377898921,-0.246643431,1.275120595
20230103_68,2022-09-29,8:20,SRM,20230103,Batch03,DC,NO,ES,Alpha,BC,2013-03-15,9.5,25.8,0.2,1.02,1.02,1.0195,1,12.26,-0.839682705,-0.154744111,-0.183041399,-0.840568061,-0.290653042,1.789754452
20230103_71,2022-10-25,9:50,SRM,20230103,Batch03,IC,NO,FG,Subord,RM,2009-02-18,13.7,30.4,0.2,1.01,1.01,1.0099,1.1,8.2,0.046960192,-0.154744111,-0.866034585,0.578283968,-0.283318106,0.933437461
20230103_74,2022-06-13,16:40,YVA,20230103,Batch03,IC,NO,PW,Subord,LV,2006-01-01,16.4,25,0.2,1.02,1.02,1.0197,1.8,16.64,0.616944912,-0.154744111,-0.168812375,-1.087324935,-0.231973561,2.713564409
20230111_04,2022-07-12,17:32,MAG,20230111,Batch04,IC,NO,BY,Alpha,LV,2003-01-01,19.5,25.5,0.2,1.026,1.026,1.0264,11.4,12.68,1.271371813,-0.154744111,0.307859953,-0.933101889,0.472180211,1.878338968
